Var1_Quantile,Var2_Quantile,Mortality_Rate,N
Q1,Q1,0.2776315789473684,760
Q1,Q2,0.17271293375394323,1268
Q1,Q3,0.12608987256874582,1491
Q1,Q4,0.09571344685848503,1703
Q2,Q1,0.2807991120976693,901
Q2,Q2,0.19083969465648856,1441
Q2,Q3,0.11349306431273644,1586
Q2,Q4,0.12023121387283237,1730
Q3,Q1,0.4180543382997371,1141
Q3,Q2,0.26433358153387937,1343
Q3,Q3,0.19187145557655955,1058
Q3,Q4,0.18087121212121213,1056
Q4,Q1,0.45,2320
Q4,Q2,0.3279832519190509,1433
Q4,Q3,0.24866785079928952,563
Q4,Q4,0.21105527638190955,597
